SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
Hepatic vein stenosis,Hepatic vein occlusion,C1142158,0.778516084926
Hepatic vein thrombosis,Hepatic artery thrombosis,C0392106,0.8862166263404327
Hepatitis,Hepatitis,C0019158,1.0000000000000009
Hepatitis A,Hepatitis A,C0019159,1.0000000000000004
Hepatitis B,Hepatitis B,C0019163,0.9999999999999997
Hepatitis B DNA increased,hepatitis b virus test positive,C2748184,0.7294257169686067
Hepatitis B antibody positive,hepatitis b virus test positive,C2748184,0.9111294394045253
Hepatitis B core antibody positive,Hepatitis C antibody positive,C0281863,0.8121212908387105
Hepatitis B reactivation,Hepatitis B reactivation,C1142420,1.0000000000000007
Hepatitis B surface antigen positive,hepatitis b surface antibody positive,C0149708,0.9149168064659852
Hepatitis C,Hepatitis C,C0019196,0.9999999999999996
Hepatitis C RNA increased,hepatitis c rna increased,C2363762,1.0000000000000002
Hepatitis C RNA positive,hepatitis c virus test positive,C2748185,0.8905717058414866
Hepatitis C virus test positive,hepatitis c virus test positive,C2748185,1.0
Hepatitis E,hepatitis e,C0085293,0.9999999999999997
Hepatitis acute,Hepatitis acute,C0267797,1.0000000000000002
Hepatitis cholestatic,Hepatitis cholestatic,C0149904,0.9999999999999998
Hepatitis chronic active,Hepatitis chronic active,C0520463,1.0000000000000004
Hepatitis fulminant,Hepatitis fulminant,C0302809,0.9999999999999991
Hepatitis toxic,Hepatitis toxic,C0019193,1.0000000000000018
Hepatitis viral,Hepatitis viral,C0042721,0.9999999999999998
Hepatocellular carcinoma,Hepatocellular carcinoma,C2239176,0.9999999999999993
Hepatocellular injury,Hepatocellular injury,C0151763,0.9999999999999994
Hepatojugular reflux,Gastrooesophageal reflux disease,C0017168,0.6631838622935157
Hepatomegaly,Hepatomegaly,C0019209,0.9999999999999983
Hepatorenal failure,Hepatorenal syndrome,C0019212,0.8931585190026337
Hepatorenal syndrome,Hepatorenal syndrome,C0019212,0.9999999999999998
Hepatosplenic T-cell lymphoma,Hepatosplenic T-cell lymphoma,C1333984,1.0000000000000004
Hepatosplenic candidiasis,hepatic candidiasis,C0877274,0.8380693175211936
Hepatosplenomegaly,Hepatosplenomegaly,C0019214,1.000000000000002
Hepatotoxicity,Hepatotoxicity,C0235378,1.0000000000000007
Herbal interaction,Drug interaction,C0687133,0.6975150304619837
Herbal toxicity,Poisoning,C0032343,0.6858847450544454
Hereditary angioedema,Hereditary angioedema,C0019243,1.0000000000000002
Hereditary disorder,Disorder birth,C0242354,0.5812787940453022
Hernia,Hernia,C0019270,1.0000000000000002
Hernia repair,inguinal hernia repair,C0021446,0.8093740067648149
Herpes ophthalmic,Ophthalmic herpes simplex,C0019357,0.9126974332936904
Herpes simplex,Herpes simplex,C0019348,0.9999999999999994
Herpes simplex encephalitis,Herpes simplex encephalitis,C0276226,0.9999999999999999
Herpes simplex oesophagitis,fungal oesophagitis,C0341109,0.6894052441334506
Herpes simplex pneumonia,Herpes simplex hepatitis,C1963747,0.6833768218524768
Herpes simplex serology positive,Herpes simplex,C0019348,0.6773191431748181
Herpes simplex viraemia,Herpes simplex,C0019348,0.7730587107080261
Herpes virus infection,Herpes virus infection,C0019372,1.0000000000000002
Herpes zoster,Herpes zoster,C0019360,0.9999999999999994
Herpes zoster cutaneous disseminated,Herpes zoster,C0019360,0.7583509042201355
Herpes zoster disseminated,Herpes zoster,C0019360,0.7469813855213974
Herpes zoster meningoencephalitis,herpes zoster meningitis,C0700503,0.8926687697472373
Herpes zoster oticus,herpes zoster oticus,C0017409,1.0000000000000009
Hiatus hernia,Hiatus hernia,C3489393,1.0000000000000004
Hiccups,Hiccups,C0019521,0.9999999999999991
Hidradenitis,Hidradenitis,C0085160,0.9999999999999998
High arched palate,Cleft palate,C0008925,0.7340169335505696
High density lipoprotein abnormal,High density lipoprotein increased,C0853084,0.7387294456475569
High density lipoprotein decreased,High density lipoprotein decreased,C0151691,0.9999999999999987
High density lipoprotein increased,High density lipoprotein increased,C0853084,1.0000000000000007
High frequency ablation,High frequency deafness,C0018780,0.5886272038182049
High-grade B-cell lymphoma,B-cell lymphoma,C0079731,0.8379397107447604
Hilar lymphadenopathy,Lymphadenopathy,C0497156,0.7686168669180153
Hip arthroplasty,hip arthroplasty,C0186193,0.9999999999999999
Hip fracture,Hip fracture,C0019557,1.0000000000000009
Hip surgery,hip arthroplasty,C0186193,0.8030693838194672
Hirsutism,Hirsutism,C0019572,1.000000000000001
Histamine intolerance,Multiple allergies,C0740281,0.6924087966696396
Histamine level increased,blood ph increased,C0853060,0.6699298547523409
Histiocytosis haematophagic,Histiocytosis haematophagic,C0876991,1.0000000000000004
Histology abnormal,histology abnormal,C0586683,1.0000000000000018
Histoplasmosis,Histoplasmosis,C0019655,1.0000000000000007
Histoplasmosis cutaneous,Histoplasmosis,C0019655,0.7505894520081748
Histoplasmosis disseminated,histoplasmosis disseminated,C0343900,1.0000000000000009
Hodgkin^s disease,Hodgkin's disease,C0019829,0.989559875045673
Hodgkin^s disease stage IV,Hodgkin's disease,C0019829,0.7113167622166109
Homans^ sign,Lhermitte's sign,C0576702,0.663926656070077
Homicidal ideation,Homicidal ideation,C0455204,1.0000000000000002
Homicide,homicide,C0019872,1.0000000000000002
Hordeolum,Hordeolum,C0019917,0.9999999999999996
Hormone level abnormal,Hormone level abnormal,C0151477,1.0000000000000018
Hormone receptor positive HER2 negative breast cancer,breast cancer stage ii,C0278486,0.5809197611901863
Hormone-refractory prostate cancer,hormone-refractory prostate cancer,C1328504,0.9999999999999999
Horner^s syndrome,Horner's syndrome,C0019937,0.9875732698552453
Hospitalisation,Sepsis,C0243026,0.5398105502002541
Hostility,Hostility,C0020039,1.0000000000000013
Hot flush,Hot flush,C0600142,1.0000000000000007
Housebound,Bedridden,C0741453,0.7529214069559167
Human bite,Animal bite,C0003044,0.7894500934105795
Human herpesvirus 6 infection,Human herpesvirus 6 infection,C0854530,1.0000000000000007
Human papilloma virus test positive,papilloma viral infection,C0950124,0.6920392535522777
Human polyomavirus infection,human polyomavirus infection,C1112364,0.9999999999999988
Human rhinovirus test positive,viral test positive,C1167762,0.6834295831268906
Humerus fracture,Humerus fracture,C0020162,1.0000000000000007
Humidity intolerance,Cold intolerance,C0009269,0.7025815365807908
Humoral immune defect,Immunodeficiency,C0021051,0.71783399037906
Hunger,Hunger,C0020175,0.9999999999999997
Huntington^s disease,Choreoathetosis,C0085583,0.6381260358648233
Hydrocele,hydrocele,C1720771,1.0000000000000002
Hydrocephalus,Hydrocephalus,C0020255,1.0000000000000002
Hydrocholecystis,hydrocholecystis,C0152445,0.999999999999272
Hydronephrosis,Hydronephrosis,C0020295,1.0000000000000002
Hydroureter,Hydroureter,C0521620,0.9999999999999993
Hydroxycorticosteroids increased,blood corticotrophin increased,C0853121,0.6617022170189107
Hyperacusis,Hyperacusis,C0034880,1.0000000000000002
Hyperadrenalism,Hyperadrenocorticism,C0001622,0.8763678665973531
Hyperadrenocorticism,Hyperadrenocorticism,C0001622,1.0000000000000013
Hyperaemia,Hyperaemia,C0020452,0.9999999999999996
Hyperaesthesia,Hyperaesthesia,C0020453,1.0000000000000002
Hyperaesthesia teeth,Sensitivity of teeth,C0011432,0.7716196066482381
Hyperalbuminaemia,Hyperalbuminaemia,C1142113,1.0000000000000009
Hyperaldosteronism,hyperaldosteronism,C0020428,1.000000000000001
Hyperammonaemia,Hyperammonaemia,C0220994,0.9999999999999999
Hyperammonaemic encephalopathy,Hyperammonaemia,C0220994,0.8508486450455599
Hyperamylasaemia,Hyperamylasaemia,C0221773,1.0000000000000004
Hyperandrogenism,Blood testosterone increased,C0853118,0.6797438789566619
Hyperbilirubinaemia,Hyperbilirubinaemia,C0020433,1.0000000000000004
Hyperbilirubinaemia neonatal,hyperbilirubinaemia neonatal,C0857007,0.9999999999999999
Hypercalcaemia,Hypercalcaemia,C0020437,1.0000000000000004
Hypercalciuria,Hypercalciuria,C0020438,1.0000000000000007
Hypercapnia,Hypercapnia,C0020440,1.0
Hypercapnic coma,Hypercapnia,C0020440,0.8328253643336384
Hyperchloraemia,Hyperchloraemia,C0085679,1.0000000000000004
Hyperchlorhydria,Hyperchlorhydria,C0151713,0.9999999999999999
Hypercholesterolaemia,Hypercholesterolaemia,C0020443,1.0
Hypercoagulation,Hypercoagulation,C0542027,0.9999999999999996
Hypercorticoidism,Hyperadrenocorticism,C0001622,0.9023110205174675
Hypercreatinaemia,hypercreatinaemia,C1963732,1.0000000000000002
Hypercreatininaemia,hypercreatinaemia,C1963732,0.9149056494220555
Hyperdynamic left ventricle,hyperdynamic left ventricle,C2363749,1.0000000000000007
Hyperferritinaemia,Serum ferritin increased,C0241013,0.8060487681301709
Hyperfibrinolysis,Hyperfibrinogenaemia,C0919890,0.9050502730671859
Hypergammaglobulinaemia,Hypergammaglobulinaemia,C0020455,1.0000000000000002
Hypergammaglobulinaemia benign monoclonal,Monoclonal gammopathy,C1136085,0.7482376813285898
Hyperglobulinaemia,Hypergammaglobulinaemia,C0020455,0.7316006003069242
Hyperglycaemia,Hyperglycaemia,C0020456,0.9999999999999999
Hyperglycaemic hyperosmolar nonketotic syndrome,hyperglycaemic hyperosmolar nonketotic syndrome,C1504377,1.0000000000000002
Hyperhidrosis,Hyperhidrosis,C0020458,0.9999999999999987
Hyperhomocysteinaemia,Homocystinuria,C0019880,0.754817053299866
Hyperinsulinaemia,Hyperinsulinism,C0020459,0.9748991458806224
Hyperinsulinaemic hypoglycaemia,Hyperinsulinism,C0020459,0.9044367002648455
Hyperinsulinism,Hyperinsulinism,C0020459,0.9999999999999983
Hyperkalaemia,Hyperkalaemia,C0020461,1.0000000000000009
Hyperkaliuria,Hyperkalaemia,C0020461,0.9476941364330354
Hyperkeratosis,Hyperkeratosis,C0870082,1.0000000000000004
Hyperkinesia,Hyperkinesia,C0424295,1.0000000000000004
Hyperlactacidaemia,Hyperlactacidaemia,C0795692,1.0000000000000007
Hyperleukocytosis,Leukocytosis,C0023518,0.8393166473258317
Hyperlipasaemia,Hyperlipidaemia,C0020473,0.9501077523467064
Hyperlipidaemia,Hyperlipidaemia,C0020473,1.0000000000000004
Hypermagnesaemia,Hypermagnesaemia,C0151714,0.9999999999999999
Hypermetabolism,hypermetabolism,C0342952,1.0000000000000009
Hypermobility syndrome,Gastrointestinal hypermotility,C0948395,0.7102767184262334
Hypernatraemia,Hypernatraemia,C0020488,1.0000000000000007
Hypernatriuria,Hypernatraemia,C0020488,0.8583194980964788
Hyperosmolar hyperglycaemic state,hyperosmolar state,C0236013,0.8127420416402265
Hyperosmolar state,hyperosmolar state,C0236013,1.0000000000000002
Hyperoxaluria,Ketonuria,C0162275,0.7095653332410478
Hyperparathyroidism,Hyperparathyroidism,C0020502,1.0000000000000009
Hyperparathyroidism primary,Hyperparathyroidism primary,C0221002,1.0000000000000002
Hyperparathyroidism secondary,Hyperparathyroidism secondary,C0020503,0.9999999999999998
Hyperphagia,Hyperphagia,C0020505,0.9999999999999997
Hyperphosphataemia,Hyperphosphataemia,C0085681,1.0000000000000007
Hyperplasia,Hyperplasia,C0020507,1.0000000000000004
Hyperprolactinaemia,Hyperprolactinaemia,C0020514,1.0000000000000013
Hyperprothrombinaemia,Hypoprothrombinaemia,C3203356,0.7996516447887121
Hyperpyrexia,Hyperpyrexia,C0392676,0.9999999999999991
Hyperreflexia,Hyperreflexia,C0151889,1.0000000000000004
Hyperresponsive to stimuli,hyporesponsive to stimuli,C3203644,0.7662850857925434
Hypersensitivity,Hypersensitivity,C0020517,1.0000000000000004
Hypersensitivity myocarditis,Eosinophilic myocarditis,C0151788,0.7413462526612916
Hypersensitivity pneumonitis,Alveolitis allergic,C0002390,0.8074887081182852
Hypersensitivity vasculitis,Allergic cutaneous angiitis,C0151436,0.8060821982024161
Hypersexuality,Hypersexuality,C0312420,1.0000000000000009
Hypersomnia,Hypersomnia,C0917799,1.0000000000000007
Hypertelorism of orbit,hypertelorism of orbit,C0020534,1.0000000000000002
Hypertension,Hypertension,C0020538,0.9999999999999998
Hypertensive angiopathy,hypertensive angiopathy,C1167697,1.0000000000000004
Hypertensive cardiomyopathy,Hypertrophic cardiomyopathy,C0007194,0.8591902073491602
Hypertensive cerebrovascular disease,hypertensive angiopathy,C1167697,0.8185007298708653
Hypertensive crisis,Hypertensive crisis,C0020546,1.0000000000000009
Hypertensive emergency,hypertensive emergency,C0745136,1.0000000000000002
Hypertensive encephalopathy,Hypertensive encephalopathy,C0151620,0.9999999999999992
Hypertensive heart disease,hypertensive angiopathy,C1167697,0.826188317469969
Hypertensive nephropathy,Hypertensive nephropathy,C0848548,1.0000000000000002
Hypertensive urgency,hypertensive emergency,C0745136,0.8159789586708553
Hyperthermia,Body temperature increased,C0015967,0.8457609548336058
Hyperthermia malignant,Body temperature increased,C0015967,0.7039790678256783
Hyperthyroidism,Hyperthyroidism,C0020550,1.0000000000000007
Hypertonia,Hypertonia,C0026826,0.9999999999999986
Hypertonia neonatal,hypertonia neonatal,C0751327,1.0000000000000004
Hypertonic bladder,Hypertonic bladder,C0878773,1.0
Hypertransaminasaemia,Hypertransaminasaemia,C2242708,1.0000000000000013
Hypertrichosis,Hypertrichosis,C0020555,1.0000000000000002
Hypertriglyceridaemia,Hypertriglyceridaemia,C0020557,1.0000000000000007
Hypertrophic cardiomyopathy,Hypertrophic cardiomyopathy,C0007194,0.9999999999999996
Hypertrophy,Hypertrophy,C0020564,1.0000000000000007
Hypertrophy of tongue papillae,Tongue hairy,C0040414,0.8035705781790808
Hyperuricaemia,Hyperuricaemia,C0740394,1.0000000000000007
Hyperventilation,Hyperventilation,C0020578,1.0000000000000018
Hypervigilance,Hypervigilance,C0235013,1.0
Hypervitaminosis,hypervitaminosis,C0342951,0.9999999999999997
Hypervitaminosis D,Hypervitaminosis D,C1442839,1.0
Hypervolaemia,Fluid overload,C0546817,0.7527709126872327
Hyphaema,Hyphaema,C0020581,1.0000000000000007
Hypnagogic hallucination,Hypnagogic hallucination,C0233773,1.0000000000000004
Hypnopompic hallucination,Hypnagogic hallucination,C0233773,0.8753932170843349
Hypoacusis,Hypogeusia,C0151934,0.8941727900692369
Hypoaesthesia,Hypoaesthesia,C0020580,0.9999999999999996
Hypoaesthesia eye,Hypoaesthesia eye,C0854097,0.9999999999999998
Hypoaesthesia oral,Hypoaesthesia oral,C0521592,1.0
Hypoalbuminaemia,Hypoalbuminaemia,C0239981,0.9999999999999999
Hypoaldosteronism,hyperaldosteronism,C0020428,0.8887743701178724
Hypocalcaemia,Hypocalcaemia,C0020598,1.0000000000000004
Hypocapnia,Hypocapnia,C0085383,1.0000000000000007
Hypochloraemia,Hypochloraemia,C0085680,0.9999999999999994
Hypocholesterolaemia,Hypocholesterolaemia,C0151718,0.9999999999999997
Hypochromic anaemia,Hypochromic anaemia,C0002884,1.0000000000000007
Hypocitraturia,Hyposthenuria,C0232831,0.7497464030863529
Hypocoagulable state,Hypercoagulation,C0542027,0.7702728774486725
Hypofibrinogenaemia,Hypofibrinogenaemia,C0553681,1.0000000000000002
Hypogammaglobulinaemia,Hypogammaglobulinaemia,C0086438,1.0000000000000004
Hypogeusia,Hypogeusia,C0151934,1.0000000000000009
Hypoglobulinaemia,Gammaglobulins decreased,C0151666,0.8567000487799645
Hypoglycaemia,Hypoglycaemia,C0020615,1.0000000000000009
Hypoglycaemia neonatal,Hypoglycaemia neonatal,C0158986,1.0000000000000002
Hypoglycaemic coma,Hypoglycaemic coma,C0020617,1.0
Hypoglycaemic encephalopathy,Hypoglycaemic coma,C0020617,0.7860276684402148
Hypoglycaemic seizure,Hypoglycaemic seizure,C0877056,1.0000000000000002
Hypoglycaemic unconsciousness,Hypoglycaemic unconsciousness,C1737211,1.0000000000000013
Hypogonadism,Hypogonadism,C0020619,0.9999999999999994
Hypohidrosis,Hypohidrosis,C0020620,0.9999999999999984
Hypoinsulinaemia,Blood insulin decreased,C0854380,0.8950781713971797
Hypokalaemia,Hypokalaemia,C0020621,1.0000000000000004
Hypokinesia,Hypokinesia,C0086439,1.0000000000000013
Hypomagnesaemia,Hypomagnesaemia,C0151723,1.0000000000000007
Hypomania,Hypomania,C0241934,1.0000000000000007
Hypomenorrhoea,Hypomenorrhoea,C0020624,1.0000000000000009
Hypometabolism,oxygen consumption decreased,C1167679,0.695970911149926
Hyponatraemia,Hyponatraemia,C0020625,0.9999999999999996
Hyponatraemic coma,Hyponatraemic,C0857122,0.8417650156307326
Hyponatraemic encephalopathy,Hyponatraemic,C0857122,0.8377084416039171
Hyponatraemic seizure,Hypoglycaemic seizure,C0877056,0.7351767704187812
Hyponatraemic syndrome,Hyponatraemic,C0857122,0.9225162549878653
Hypoosmolar state,hyperosmolar state,C0236013,0.899102979725283
Hypoparathyroidism,Hypoparathyroidism,C0020626,0.9999999999999999
Hypoperfusion,Hypoperfusion,C0442856,1.0000000000000009
Hypophagia,Hypophagia,C1504561,1.000000000000002
Hypophosphataemia,Hypophosphataemia,C0085682,1.0000000000000002
Hypophosphataemic osteomalacia,Osteomalacia,C0029442,0.8019580576090326
Hypopituitarism,Hypopituitarism,C0020635,1.0000000000000007
Hypopnoea,Hypopnoea,C0235546,1.0000000000000002
Hypoprolactinaemia,Hyperprolactinaemia,C0020514,0.7777491608014863
Hypoproteinaemia,Hypoproteinaemia,C0020639,1.0000000000000007
Hypoprothrombinaemia,Hypoprothrombinaemia,C3203356,0.9999999999999998
Hypopyon,hypopyon,C0020641,0.9999999999999996
Hyporeflexia,Hyporeflexia,C0151888,1.0000000000000016
Hyporesponsive to stimuli,hyporesponsive to stimuli,C3203644,0.9999999999999996
Hyposmia,Hyposmia,C2364082,1.0000000000000004
Hypospadias,hypospadias,C0848558,1.0000000000000007
Hypotension,Hypotension,C0020649,1.0000000000000013
Hypothalamic pituitary adrenal axis suppression,Adrenal insufficiency,C0001623,0.7259868991940613
Hypothalamo-pituitary disorder,hypothalamo-pituitary disorder,C0032002,1.0000000000000018
Hypothermia,Hypothermia,C0413252,0.9999999999999999
Hypothyroidic goitre,Euthyroid goiter,C0302859,0.8060322751779744
Hypothyroidism,Hypothyroidism,C0020676,0.9999999999999998
Hypotonia,Hypotonia,C0026827,0.9999999999999998
Hypotonia neonatal,hypotonia neonatal,C2267233,0.999999999999999
Hypotrichosis,Hypotrichosis,C0020678,0.9999999999999999
Hypouricaemia,Hypouricaemia,C0221333,1.000000000000001
Hypoventilation,Hypoventilation,C3203358,1.0000000000000007
Hypovitaminosis,Hypovitaminosis,C1510471,1.0000000000000024
Hypovolaemia,Hypovolaemia,C0546884,0.9999999999999989
Hypovolaemic shock,Hypovolaemic shock,C0020683,1.0000000000000009
Hypoxia,Hypoxia,C0242184,0.9999999999999997
Hypoxic-ischaemic encephalopathy,Hypoxic-ischaemic encephalopathy,C1140716,0.9999999999999988
Hypozincaemia,Blood zinc decreased,C0855675,0.7707921757302867
Hysterectomy,hysterectomy,C0020699,1.0000000000000004
IIIrd nerve paralysis,IIIrd nerve paralysis,C0028866,0.9999999999999999
IVth nerve paralysis,IIIrd nerve paralysis,C0028866,0.8101378834590113
Iatrogenic injury,iatrogenic injury,C0854404,0.9999999999999996
Ideas of reference,Flight of ideas,C0233657,0.6459909973939049
Idiopathic environmental intolerance,multiple chemical sensitivity,C0242992,0.7128740095169837
Idiopathic generalised epilepsy,Convulsions generalised,C0234533,0.6754463040867987
Idiopathic interstitial pneumonia,Interstitial pneumonia,C0206061,0.9194297609496435
Idiopathic intracranial hypertension,Benign intracranial hypertension,C0033845,0.8995984858901456
Idiopathic pneumonia syndrome,Idiopathic pneumonia syndrome,C1504431,1.0000000000000004
Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,C1800706,1.0000000000000002
Idiosyncratic alcohol intoxication,Alcohol intoxication,C0001969,0.8187025382875175
Idiosyncratic drug reaction,Idiosyncratic drug reaction,C0919578,1.0000000000000002
IgA nephropathy,Linear IgA disease,C0406650,0.7274817729037885
IgM nephropathy,Glomerulonephritis membranous,C0017665,0.7925887785945068
Ileal perforation,Ileal perforation,C0559938,0.9999999999999996
Ileal ulcer,Ileal ulcer,C0520564,0.9999999999999998
Ileocolectomy,ileocolectomy,C0192881,0.9999999999999988
Ileus,Ileus,C1258215,0.9999999999999998
Ileus paralytic,Ileus paralytic,C0030446,1.0000000000000009
Iliotibial band syndrome,amniotic band syndrome,C0002636,0.6091128898612505
Ilium fracture,fractured ischium,C0281887,0.7759887933998738
Ill-defined disorder,Ill-defined disorder,C2047937,0.9999999999999999
Illiteracy,Emotional poverty,C0235113,0.6198934115123765
Illness,Sickness,C0221423,0.8803697766728374
Illogical thinking,Illusion,C0020903,0.7675019551719159
Illusion,Illusion,C0020903,1.000000000000001
Immediate post-injection reaction,Injection site hypersensitivity,C0151726,0.7715023296068826
Immobile,Immobile,C0231441,1.0000000000000002
Immune reconstitution inflammatory syndrome,Systemic inflammatory response syndrome,C0242966,0.7402892752875266
Immune reconstitution inflammatory syndrome associated tuberculosis,Atypical mycobacterial infection,C0026919,0.6362017756229512
Immune system disorder,Immune system disorder,C0021053,1.0000000000000007
Immune thrombocytopenia,Idiopathic thrombocytopenia,C0920163,0.8982550633687201
Immune thrombocytopenic purpura,Idiopathic thrombocytopenic purpura,C0043117,0.9304336111084648
Immune-mediated adverse reaction,Infusion related reaction,C0948715,0.7084695898688422
Immune-mediated enterocolitis,Enterocolitis,C0014356,0.8051103350056021
Immune-mediated gastritis,Gastritis,C0017152,0.7528726386941305
Immune-mediated hepatic disorder,Autoimmune hepatitis,C0241910,0.8078009091532317
Immune-mediated hepatitis,Autoimmune hepatitis,C0241910,0.857421141894666
Immune-mediated hypothyroidism,autoimmune thyroiditis,C0920350,0.7449793464183124
Immune-mediated myocarditis,Myocarditis,C0027059,0.7668652087783063
Immune-mediated myositis,Immune-mediated necrotising myopathy,C3267047,0.7862137305572348
Immune-mediated necrotising myopathy,Immune-mediated necrotising myopathy,C3267047,1.0000000000000009
Immune-mediated pneumonitis,Infectious pneumonitis,C2721563,0.7717888173929484
Immunisation,immune tolerance induction,C2938926,0.6360976191612403
Immunisation reaction,nonspecific reaction,C0221738,0.6851543888968625
Immunodeficiency,Immunodeficiency,C0021051,0.9999999999999998
Immunosuppressant drug level,Immunosuppressant drug level increased,C0948257,0.7359361393516012
Immunosuppressant drug level abnormal,Immunosuppressant drug level increased,C0948257,0.8252383561156631
Immunosuppressant drug level decreased,Immunosuppressant drug level increased,C0948257,0.7418991584044333
Immunosuppressant drug level increased,Immunosuppressant drug level increased,C0948257,1.0000000000000007
Immunosuppression,immunosuppression,C0021079,1.0000000000000002
Impaired driving ability,impaired driving ability,C0877256,1.0000000000000002
Impaired gastric emptying,Impaired gastric emptying,C0522063,1.0
Impaired healing,Impaired healing,C0151692,1.0000000000000009
Impaired insulin secretion,Blood insulin decreased,C0854380,0.7769430915046834
Impaired quality of life,quality of life decreased,C1963786,0.9062554964640939
Impaired self-care,impaired self-care,C0518084,1.000000000000002
Impaired work ability,loss of employment,C0425083,0.7371807145324214
Impatience,Impatience,C0919568,1.000000000000001
Impetigo,Impetigo,C0021099,0.9999999999999999
Implant site extravasation,Injection site extravasation,C0521500,0.8075474070458029
Implant site haematoma,Injection site haematoma,C0542008,0.8164919735280389
Implant site haemorrhage,Injection site haemorrhage,C0151698,0.7715285724288357
Implant site infection,implant site infection,C1167854,0.9999999999999988
Implant site pain,Implant site pain,C1504452,1.0000000000000016
Implant site pruritus,implant site erythema,C1504449,0.8338072009351614
Implant site reaction,Implant site reaction,C0521510,1.0
Implant site swelling,implant site swelling,C1535869,1.0000000000000016
Implantable defibrillator insertion,cardiac pacemaker insertion,C0189817,0.77914875142533
Imprisonment,Punding,C1963933,0.6670731970554415
Impulse-control disorder,Impulse-control disorder,C0021122,0.9999999999999999
Impulsive behaviour,Disinhibition,C0424296,0.7443031569045774
Inability to afford medication,economic problem,C0337629,0.6059419683471364
Inadequate analgesia,inadequate analgesia,C0522248,0.9999999999999997
Inadequate diet,diet noncompliance,C2364379,0.784973037306284
Inadequate haemodialysis,haemodialysis complication,C0274417,0.747915495513647
Inappropriate affect,Inappropriate affect,C0233467,0.9999999999999989
Inappropriate antidiuretic hormone secretion,Inappropriate antidiuretic hormone secretion,C0021141,0.999999999999999
Inappropriate schedule of drug administration,inappropriate schedule of drug administration,C0857801,1.0000000000000007
Inappropriate schedule of product administration,inappropriate schedule of drug administration,C0857801,0.9596841925312535
Inappropriate schedule of product discontinuation,inappropriate schedule of drug administration,C0857801,0.8233711254985927
Inborn error of metabolism,Metabolic disorder,C0025517,0.7589907112912037
Incision site haematoma,Incision site haematoma,C1168175,1.0000000000000009
Incision site haemorrhage,Incision site haemorrhage,C0919882,1.0000000000000002
Incision site pain,Incision site pain,C1142257,1.0000000000000007
Incision site rash,Incision site complication,C1142172,0.7808878409801944
Incision site swelling,Incision site oedema,C1698400,0.8595424766966807
Incisional hernia,Incisional hernia,C0267716,1.0000000000000013
Incoherent,Incoherent,C0542044,0.9999999999999997
Incomplete spinal fusion,congenital spinal fusion,C0265678,0.8036148853600442
Incontinence,Incontinence,C0021167,1.0000000000000016
Incorrect disposal of product,incorrect drug dosage form administered,C1535999,0.7078733027635874
Incorrect dosage administered,incorrect dosage administered,C1536013,1.0000000000000002
Incorrect dose administered,incorrect dosage administered,C1536013,0.977704537918045
Incorrect dose administered by device,incorrect dosage administered,C1536013,0.8750038639854469
Incorrect drug administration duration,incorrect drug administration duration,C1536001,1.0000000000000004
Incorrect drug administration rate,incorrect dosage administered,C1536013,0.7736304720447885
Incorrect drug dosage form administered,incorrect drug dosage form administered,C1535999,1.0000000000000009
Incorrect product administration duration,incorrect drug administration duration,C1536001,0.9534979979013487
Incorrect product dosage form administered,incorrect drug dosage form administered,C1535999,0.9577632497468708
Incorrect product formulation administered,incorrect drug dosage form administered,C1535999,0.83875002641915
Incorrect product storage,product packaging issue,C2721584,0.7125940478010763
Incorrect route of drug administration,incorrect drug dosage form administered,C1535999,0.8881217173891427
Incorrect route of product administration,incorrect drug dosage form administered,C1535999,0.8928310293612458
Increased appetite,Increased appetite,C0232461,1.0000000000000016
Increased bronchial secretion,Increased bronchial secretion,C1262144,0.9999999999999997
Increased insulin requirement,Increased insulin requirement,C0235409,1.0000000000000009
Increased tendency to bruise,Increased tendency to bruise,C0423798,1.0000000000000004
Increased upper airway secretion,Increased upper airway secretion,C1328308,1.0000000000000013
Increased viscosity of upper respiratory secretion,Increased viscosity of bronchial secretion,C1096275,0.8670509095588279
Indifference,Unresponsive to stimuli,C0857494,0.7779515545204264
Induced abortion failed,Failed induction of labour,C0269806,0.7779356024940784
Induration,Induration,C0332534,1.000000000000001
Infant irritability,Irritability,C0022107,0.8050637506482465
Infantile back arching,Stiff back,C0221758,0.6638735160790676
Infarction,Infarction,C0021308,1.0
Infected bite,Infected bites,C0850638,0.9731088632774993
Infected cyst,Infected cyst,C1142249,1.0000000000000004
Infected neoplasm,Secondary infection,C0442886,0.6570162684115664
Infected skin ulcer,Skin ulcer,C0037299,0.7467796345059761
Infected varicose vein,varicophlebitis,C0854409,0.8626727409285995
Infection,Infection,C0009450,0.9999999999999992
Infection parasitic,Infection parasitic,C0747256,1.000000000000001
Infection reactivation,Infection reactivation,C3160756,0.9999999999999996
Infection susceptibility increased,Infection susceptibility increased,C0236171,1.0000000000000002
Infectious mononucleosis,Infectious mononucleosis,C0021345,1.0000000000000013
Infectious pleural effusion,infectious pleural effusion,C3203730,0.9999999999999993
Infective aneurysm,infective aneurysm,C0002950,1.0000000000000013
Infective exacerbation of chronic obstructive airways disease,infective exacerbation of bronchiectasis,C2748249,0.7740001508632944
